"name"	"taxRank"	"taxID"	"Max"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"lineage"
"Alphaproteobacteria><wbr>...><wbr>Bradyrhizobium sp. SK17"	"S"	2057741	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bradyrhizobiaceae>Bradyrhizobium"
"Alphaproteobacteria><wbr>...><wbr>Rickettsia"	"G"	780	1	NA	1	1	1	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae"
"spotted fever group"	"-"	114277	1	NA	1	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae>Rickettsia"
"Alphaproteobacteria><wbr>...><wbr>Sphingomonas sp. LM7"	"S"	1938607	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Sphingomonadaceae>Sphingomonas"
"Staphylococcaceae><wbr>Staphylococcus><wbr>Staphylococcus epidermidis"	"S"	1282	2	NA	2	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcaceae><wbr>Staphylococcus><wbr>Staphylococcus aureus"	"S"	1280	2	NA	2	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus aureus subsp. aureus"	"-"	46170	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus>Staphylococcus&nbsp;aureus"
"Staphylococcaceae><wbr>Staphylococcus><wbr>Staphylococcus cohnii"	"S"	29382	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcaceae><wbr>...><wbr>Staphylococcus sciuri subsp. sciuri"	"-"	147467	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus>Staphylococcus&nbsp;sciuri"
"Bacillus cereus group><wbr>Bacillus cereus><wbr>Bacillus cereus Rock4-18"	"-"	526988	1	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group>Bacillus&nbsp;cereus"
"Bacillus cereus group><wbr>Bacillus thuringiensis"	"S"	1428	1	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus sp. FJAT-18017"	"S"	1705566	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus pseudofirmus><wbr>Bacillus pseudofirmus OF4"	"-"	398511	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;pseudofirmus"
"Geobacillus"	"G"	129337	1	NA	1	NA	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae"
"Paenibacillus lentus"	"S"	1338368	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Bacillales incertae sedis><wbr>...><wbr>Exiguobacterium sp. AT1b"	"S"	360911	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis>Exiguobacterium"
"Bacilli><wbr>...><wbr>Enterococcus faecium"	"S"	1352	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Bacilli><wbr>...><wbr>Enterococcus sp. FDAARGOS_375"	"S"	2060307	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Bacilli><wbr>...><wbr>Vagococcus sp. MN-17"	"S"	2571750	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Vagococcus"
"Bacilli><wbr>...><wbr>Tetragenococcus osmophilus"	"S"	526944	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae>Tetragenococcus"
"Bacilli><wbr>...><wbr>Streptococcus ferus"	"S"	1345	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Bacilli><wbr>...><wbr>Streptococcus suis"	"S"	1307	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Bacilli><wbr>...><wbr>Lactobacillus acidophilus"	"S"	1579	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Bacilli><wbr>...><wbr>Lactobacillus murinus"	"S"	1622	1	NA	1	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Bacilli><wbr>...><wbr>Aerococcus urinae ACS-120-V-Col10a"	"-"	866775	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Aerococcaceae>Aerococcus>Aerococcus&nbsp;urinae"
"Clostridium tetani"	"S"	1513	1	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium saccharoperbutylacetonicum N1-4><wbr>Clostridium saccharoperbutylacetonicum N1-4(HMT)"	"-"	931276	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;saccharoperbutylacetonicum>Clostridium&nbsp;saccharoperbutylacetonicum&nbsp;N1&#x2011;4"
"Clostridium autoethanogenum><wbr>Clostridium autoethanogenum DSM 10061"	"-"	1341692	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;autoethanogenum"
"Lachnospiraceae><wbr>Butyrivibrio><wbr>Butyrivibrio fibrisolvens"	"S"	831	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Butyrivibrio"
"Lachnospiraceae><wbr>Lachnoanaerobaculum><wbr>Lachnoanaerobaculum umeaense"	"S"	617123	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Lachnoanaerobaculum"
"Eubacteriaceae><wbr>...><wbr>Acetobacterium woodii DSM 1030"	"-"	931626	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Eubacteriaceae>Acetobacterium>Acetobacterium&nbsp;woodii"
"Clostridia><wbr>...><wbr>Thermoanaerobacterium sp. RBIITD"	"S"	1550240	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Thermoanaerobacterium"
"Clostridia><wbr>...><wbr>Caldicellulosiruptor kronotskyensis 2002"	"-"	632348	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;III.&nbsp;Incertae&nbsp;Sedis>Caldicellulosiruptor>Caldicellulosiruptor&nbsp;kronotskyensis"
"Clostridia><wbr>...><wbr>Thermoanaerobacterales bacterium SK-G1"	"S"	2316383	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>unclassified&nbsp;Thermoanaerobacterales"
"Clostridia><wbr>...><wbr>Thermoanaerobacter ethanolicus JW 200"	"-"	509192	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter>Thermoanaerobacter&nbsp;ethanolicus"
"Erysipelotrichia><wbr>...><wbr>Faecalitalea cylindroides T2-87"	"-"	717960	1	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae>Faecalitalea>Faecalitalea&nbsp;cylindroides"
"Tissierellia><wbr>...><wbr>Finegoldia magna"	"S"	1260	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>Tissierellales>Peptoniphilaceae>Finegoldia"
"Actinobacteria><wbr>...><wbr>Microbacterium"	"G"	33882	5	NA	5	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae"
"Microbacterium sp. Y-01"	"S"	2048898	4	NA	4	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Microbacterium"
"Actinobacteria><wbr>...><wbr>Agromyces sp. FW100M-8"	"S"	2509455	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Microbacteriaceae>Agromyces"
"Actinobacteria><wbr>...><wbr>Phycicoccus dokdonensis"	"S"	443156	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Micrococcales>Intrasporangiaceae>Phycicoccus"
"Actinobacteria><wbr>...><wbr>Nocardioides"	"G"	1839	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae"
"Actinobacteria><wbr>...><wbr>Aeromicrobium marinum DSM 15272"	"-"	585531	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Aeromicrobium>Aeromicrobium&nbsp;marinum"
"Actinobacteria><wbr>...><wbr>Pimelobacter simplex"	"S"	2045	1	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Pimelobacter"
"Streptomyces sp. 769"	"S"	1262452	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Streptomyces lincolnensis"	"S"	1915	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces"
"Actinobacteria><wbr>...><wbr>Dietzia psychralcaliphila"	"S"	139021	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Dietziaceae>Dietzia"
"Nostoc piscinale><wbr>Nostoc piscinale CENA21"	"-"	224013	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc>Nostoc&nbsp;piscinale"
"Nostoc sphaeroides"	"S"	446679	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Nostoc sp. CENA543"	"S"	1869241	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Nostocaceae>Nostoc"
"Rivulariaceae><wbr>Calothrix"	"G"	1186	1	NA	1	1	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix sp. 336/3"	"S"	1337936	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Aphanizomenonaceae><wbr>...><wbr>Sphaerospermopsis kisseleviana NIES-73"	"-"	1973480	1	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Sphaerospermopsis>Sphaerospermopsis&nbsp;kisseleviana"
"Synechococcales><wbr>...><wbr>Synechococcus sp. CC9902"	"S"	316279	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Synechococcales><wbr>...><wbr>Synechococcus sp. PCC 6312"	"S"	195253	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Synechococcales>Synechococcaceae>Synechococcus"
"Spiroplasma litorale"	"S"	216942	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Spiroplasma corruscae"	"S"	216934	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma"
"Spiroplasma diminutum><wbr>Spiroplasma diminutum CUAS-1"	"-"	1276221	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae>Spiroplasma>Spiroplasma&nbsp;diminutum"
"Tenericutes><wbr>...><wbr>Entomoplasma luminosum"	"S"	214888	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Entomoplasmataceae>Entomoplasma"
"Mycoplasma alkalescens"	"S"	45363	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Mycoplasma canis"	"S"	29555	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Mycoplasma bovirhinis"	"S"	29553	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Chloroflexi><wbr>...><wbr>Sphaerobacter thermophilus DSM 20745"	"-"	479434	1	NA	1	NA	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Chloroflexi>Thermomicrobia>Sphaerobacteridae>Sphaerobacterales>Sphaerobacterineae>Sphaerobacteraceae>Sphaerobacter>Sphaerobacter&nbsp;thermophilus"
"FCB group><wbr>...><wbr>Flavobacterium commune"	"S"	1306519	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"FCB group><wbr>...><wbr>Flavobacterium kingsejongi"	"S"	1678728	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"FCB group><wbr>...><wbr>Flavobacterium johnsoniae UW101"	"-"	376686	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium>Flavobacterium&nbsp;johnsoniae"
"FCB group><wbr>...><wbr>Polaribacter sp. SA4-10"	"S"	754397	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"FCB group><wbr>...><wbr>Polaribacter reichenbachii"	"S"	996801	1	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"FCB group><wbr>...><wbr>Polaribacter sp. SA4-12"	"S"	1312072	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"FCB group><wbr>...><wbr>Polaribacter sp. KT25b"	"S"	1855336	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"Chryseobacterium balustinum"	"S"	246	2	NA	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"Chryseobacterium sp. IHB B 17019"	"S"	1721091	1	NA	1	NA	1	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"Chryseobacterium sp. StRB126"	"S"	878220	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"FCB group><wbr>...><wbr>Dokdonia sp. Dokd-P16"	"S"	2173169	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Dokdonia"
"FCB group><wbr>...><wbr>Ornithobacterium rhinotracheale"	"S"	28251	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Ornithobacterium"
"FCB group><wbr>...><wbr>Wenyingzhuangia fucanilytica"	"S"	1790137	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Wenyingzhuangia"
"FCB group><wbr>...><wbr>Aquimarina sp. AD10"	"S"	1714849	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Aquimarina"
"FCB group><wbr>...><wbr>Maribacter sp. T28"	"S"	1836467	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Maribacter"
"FCB group><wbr>...><wbr>Formosa sp. Hel1_31_208"	"S"	1798225	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Formosa"
"FCB group><wbr>...><wbr>Tenacibaculum mesophilum"	"S"	104268	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Tenacibaculum"
"FCB group><wbr>...><wbr>Ichthyobacterium seriolicida"	"S"	242600	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Ichthyobacteriaceae>Ichthyobacterium"
"FCB group><wbr>...><wbr>Sphingobacterium mizutaii"	"S"	1010	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"FCB group><wbr>...><wbr>Sphingobacterium sp. B29"	"S"	1933220	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"FCB group><wbr>...><wbr>Pedobacter sp. PACM 27299"	"S"	1727164	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Pedobacter"
"FCB group><wbr>...><wbr>Solitalea canadensis DSM 3403"	"-"	929556	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Solitalea>Solitalea&nbsp;canadensis"
"FCB group><wbr>...><wbr>Mucinivorans hirudinis"	"S"	1433126	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Rikenellaceae>Mucinivorans"
"FCB group><wbr>...><wbr>Proteiniphilum saccharofermentans"	"S"	1642647	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Dysgonamonadaceae>Proteiniphilum"
"FCB group><wbr>...><wbr>Spirosoma pollinicola"	"S"	2057025	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Cytophagaceae>Spirosoma"
"FCB group><wbr>...><wbr>Flammeovirga sp. L12M1"	"S"	2494373	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Flammeovirga"
"FCB group><wbr>...><wbr>Arachidicoccus sp. BS20"	"S"	1850526	1	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Chitinophagia>Chitinophagales>Chitinophagaceae>Arachidicoccus"
"FCB group><wbr>...><wbr>Haliscomenobacter hydrossis DSM 1100"	"-"	760192	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Saprospiria>Saprospirales>Haliscomenobacteraceae>Haliscomenobacter>Haliscomenobacter&nbsp;hydrossis"
"FCB group><wbr>...><wbr>Chlorobium phaeobacteroides BS1"	"-"	331678	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Chlorobi>Chlorobia>Chlorobiales>Chlorobiaceae>Chlorobium/Pelodictyon&nbsp;group>Chlorobium>Chlorobium&nbsp;phaeobacteroides"
"FCB group><wbr>...><wbr>Ignavibacterium album JCM 16511"	"-"	945713	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Ignavibacteriae>Ignavibacteria>Ignavibacteriales>Ignavibacteriaceae>Ignavibacterium>Ignavibacterium&nbsp;album"
"Fusobacteria><wbr>...><wbr>Leptotrichia sp. oral taxon 847"	"S"	1785996	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales>Leptotrichiaceae>Leptotrichia"
"Spirochaetes><wbr>...><wbr>Treponema azotonutricium ZAS-9"	"-"	545695	1	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema>Treponema&nbsp;azotonutricium"
"Spirochaetes><wbr>...><wbr>Brachyspira"	"G"	29521	1	NA	1	NA	1	1	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Brachyspirales>Brachyspiraceae"
